lago,punto,codice_comune,zero_idrometrico,altezza,unit_di_misura_altezza,zero_idrometrico_unit_di_misura,periodo,anno,zero_idrometrico_unit_di_misura_testuale
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-06-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.32,cm,mslm,2019-06-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-06-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.3,cm,mslm,2019-06-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-06-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-06-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.31,cm,mslm,2019-06-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.29,cm,mslm,2019-06-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.28,cm,mslm,2019-06-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.28,cm,mslm,2019-06-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.27,cm,mslm,2019-06-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.27,cm,mslm,2019-06-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.27,cm,mslm,2019-06-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-06-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-06-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.27,cm,mslm,2019-07-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.25,cm,mslm,2019-07-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.25,cm,mslm,2019-07-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.25,cm,mslm,2019-07-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-07-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-07-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-07-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-07-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-07-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-07-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-07-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.18,cm,mslm,2019-07-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.15,cm,mslm,2019-07-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.14,cm,mslm,2019-07-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.13,cm,mslm,2019-07-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.12,cm,mslm,2019-07-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.11,cm,mslm,2019-07-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-07-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.08,cm,mslm,2019-07-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.07,cm,mslm,2019-07-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.05,cm,mslm,2019-07-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.05,cm,mslm,2019-07-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.04,cm,mslm,2019-07-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.03,cm,mslm,2019-07-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.04,cm,mslm,2019-07-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.01,cm,mslm,2019-07-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.03,cm,mslm,2019-07-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.02,cm,mslm,2019-07-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.01,cm,mslm,2019-07-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.01,cm,mslm,2019-07-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.01,cm,mslm,2019-07-31,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.99,cm,mslm,2019-08-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.02,cm,mslm,2019-08-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.01,cm,mslm,2019-08-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.0,cm,mslm,2019-08-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.0,cm,mslm,2019-08-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.01,cm,mslm,2019-08-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.04,cm,mslm,2019-08-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.04,cm,mslm,2019-08-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.04,cm,mslm,2019-08-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.03,cm,mslm,2019-08-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.03,cm,mslm,2019-08-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.05,cm,mslm,2019-08-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.03,cm,mslm,2019-08-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.01,cm,mslm,2019-08-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.0,cm,mslm,2019-08-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.99,cm,mslm,2019-08-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.98,cm,mslm,2019-08-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.97,cm,mslm,2019-08-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.95,cm,mslm,2019-08-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.95,cm,mslm,2019-08-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.94,cm,mslm,2019-08-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.92,cm,mslm,2019-08-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.92,cm,mslm,2019-08-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.9,cm,mslm,2019-08-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.89,cm,mslm,2019-08-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.88,cm,mslm,2019-08-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.88,cm,mslm,2019-08-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.87,cm,mslm,2019-08-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.86,cm,mslm,2019-08-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.84,cm,mslm,2019-08-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.84,cm,mslm,2019-08-31,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.82,cm,mslm,2019-09-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.84,cm,mslm,2019-09-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.81,cm,mslm,2019-09-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.81,cm,mslm,2019-09-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.79,cm,mslm,2019-09-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.84,cm,mslm,2019-09-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.82,cm,mslm,2019-09-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.87,cm,mslm,2019-09-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.85,cm,mslm,2019-09-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.86,cm,mslm,2019-09-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.85,cm,mslm,2019-09-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.87,cm,mslm,2019-09-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.86,cm,mslm,2019-09-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.86,cm,mslm,2019-09-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.85,cm,mslm,2019-09-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.85,cm,mslm,2019-09-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.84,cm,mslm,2019-09-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.85,cm,mslm,2019-09-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.84,cm,mslm,2019-09-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-09-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.82,cm,mslm,2019-09-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.81,cm,mslm,2019-09-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-09-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.82,cm,mslm,2019-09-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.82,cm,mslm,2019-09-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-09-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.81,cm,mslm,2019-09-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.81,cm,mslm,2019-09-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.81,cm,mslm,2019-09-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.81,cm,mslm,2019-09-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.81,cm,mslm,2019-10-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-10-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-10-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.82,cm,mslm,2019-10-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.82,cm,mslm,2019-10-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.82,cm,mslm,2019-10-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-10-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-10-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-10-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.84,cm,mslm,2019-10-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.84,cm,mslm,2019-10-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-10-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-10-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.83,cm,mslm,2019-10-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.86,cm,mslm,2019-10-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.86,cm,mslm,2019-10-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.85,cm,mslm,2019-10-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.86,cm,mslm,2019-10-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.86,cm,mslm,2019-10-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.86,cm,mslm,2019-10-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.87,cm,mslm,2019-10-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.87,cm,mslm,2019-10-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.88,cm,mslm,2019-10-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.87,cm,mslm,2019-10-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.89,cm,mslm,2019-10-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.88,cm,mslm,2019-10-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.87,cm,mslm,2019-10-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.88,cm,mslm,2019-10-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.88,cm,mslm,2019-10-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.87,cm,mslm,2019-10-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.88,cm,mslm,2019-10-31,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.88,cm,mslm,2019-11-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.88,cm,mslm,2019-11-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.93,cm,mslm,2019-11-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.94,cm,mslm,2019-11-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.97,cm,mslm,2019-11-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,0.98,cm,mslm,2019-11-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.0,cm,mslm,2019-11-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.05,cm,mslm,2019-11-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.05,cm,mslm,2019-11-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.05,cm,mslm,2019-11-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.07,cm,mslm,2019-11-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.09,cm,mslm,2019-11-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.1,cm,mslm,2019-11-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.08,cm,mslm,2019-11-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.14,cm,mslm,2019-11-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.13,cm,mslm,2019-11-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.15,cm,mslm,2019-11-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.16,cm,mslm,2019-11-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-11-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-11-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-11-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.2,cm,mslm,2019-11-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.2,cm,mslm,2019-11-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.24,cm,mslm,2019-11-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-11-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-11-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-11-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-11-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-11-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-11-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.2,cm,mslm,2019-12-01,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.2,cm,mslm,2019-12-02,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-12-03,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.18,cm,mslm,2019-12-04,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.17,cm,mslm,2019-12-05,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.16,cm,mslm,2019-12-06,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.15,cm,mslm,2019-12-07,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.15,cm,mslm,2019-12-08,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.13,cm,mslm,2019-12-09,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.14,cm,mslm,2019-12-10,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.14,cm,mslm,2019-12-11,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.14,cm,mslm,2019-12-12,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.17,cm,mslm,2019-12-13,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.17,cm,mslm,2019-12-14,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.16,cm,mslm,2019-12-15,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.16,cm,mslm,2019-12-16,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.18,cm,mslm,2019-12-17,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.18,cm,mslm,2019-12-18,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.18,cm,mslm,2019-12-19,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.19,cm,mslm,2019-12-20,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.24,cm,mslm,2019-12-21,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.28,cm,mslm,2019-12-22,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.26,cm,mslm,2019-12-23,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.25,cm,mslm,2019-12-24,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.23,cm,mslm,2019-12-25,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.22,cm,mslm,2019-12-26,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-12-27,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-12-28,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.2,cm,mslm,2019-12-29,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.21,cm,mslm,2019-12-30,2019,metri sul livello del mare
LAGO DI GARDA,MANERBA,017102,64.03,1.2,cm,mslm,2019-12-31,2019,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.22,cm,mslm,2020-01-01,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.22,cm,mslm,2020-01-02,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2020-01-03,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2020-01-04,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2020-01-05,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.27,cm,mslm,2020-01-06,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.27,cm,mslm,2020-01-07,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.29,cm,mslm,2020-01-08,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.31,cm,mslm,2020-01-09,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.32,cm,mslm,2020-01-10,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.32,cm,mslm,2020-01-11,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2020-01-12,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.3,cm,mslm,2020-01-13,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.32,cm,mslm,2020-01-14,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.31,cm,mslm,2020-01-15,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.32,cm,mslm,2020-01-16,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.31,cm,mslm,2020-01-17,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.31,cm,mslm,2020-01-18,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.3,cm,mslm,2020-01-19,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.29,cm,mslm,2020-01-20,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.29,cm,mslm,2020-01-21,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.29,cm,mslm,2020-01-22,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.29,cm,mslm,2020-01-23,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2020-01-24,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.27,cm,mslm,2020-01-25,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2020-01-26,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2020-01-27,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.28,cm,mslm,2020-01-28,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2020-01-29,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2020-01-30,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.26,cm,mslm,2020-01-31,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2020-02-01,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.23,cm,mslm,2020-02-02,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.24,cm,mslm,2020-02-03,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2020-02-04,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2020-02-05,2020,metri sul livello del mare
LAGO MAGGIORE,SESTO CALENDE,012120,192.87,1.25,cm,mslm,2020-02-06,2020,metri sul livello del mare
